rowID,playerID,gameID,game_date,away,opp,game_result,passYDS,passTD,passINT,rushYDS,rushTD,rec,recYDS,recTD,krtd,prtd,passBonus,rushBonus,recBonus,fpts
61,4,13,1989-09-17,0,DET,W 24-14,218,2,0,11,0,0,0,0,0,0,0,0,0,17.82
62,4,14,1984-10-28,0,WAS,W 37-13,339,2,0,1,0,0,0,0,0,0,3,0,0,24.66
63,4,15,1991-12-21,0,HOU,W 24-20,200,1,0,19,0,0,0,0,0,0,0,0,0,13.9
64,4,16,1986-11-02,0,DAL,W 17-14,67,0,1,-4,0,0,0,0,0,0,0,0,0,1.28
65,5,1,1996-09-29,1,TAM,W 27-0,230,2,0,4,0,0,0,0,0,0,0,0,0,17.6
66,5,2,1995-10-29,0,GNB,W 24-16,249,3,0,2,0,0,0,0,0,0,0,0,0,22.16
67,5,3,1997-11-02,1,GNB,L 10-20,158,0,4,18,0,0,0,0,0,0,0,0,0,4.12
68,5,4,1994-11-06,1,GNB,L 30-38,63,0,2,0,0,0,0,0,0,0,0,0,0,0.52
69,5,5,1997-10-12,1,TAM,W 27-9,222,1,0,7,0,0,0,0,0,0,0,0,0,13.58
70,5,6,1996-10-27,0,NYG,L 7-35,71,0,3,1,1,6,0,0,0,0,0,0,0,11.94
71,5,7,1995-11-23,0,MIN,W 44-38,410,4,1,1,0,0,0,0,0,0,3,0,0,34.5
72,5,8,1997-09-14,1,CHI,W 32-7,215,2,0,11,0,0,0,0,0,0,0,0,0,17.7
73,5,9,1995-12-17,0,JAX,W 44-0,233,2,0,12,0,0,0,0,0,0,0,0,0,18.52
74,5,10,1997-11-16,0,MIN,W 38-15,271,2,0,0,0,0,0,0,0,0,0,0,0,18.84
75,5,11,1996-09-01,1,MIN,L 13-17,260,1,4,3,0,0,0,0,0,0,0,0,0,10.7
76,5,12,1996-11-24,1,CHI,L 14-31,230,0,3,2,1,6,0,0,0,0,0,0,0,18.4
77,5,13,1995-12-04,0,CHI,W 27-7,320,3,0,1,0,0,0,0,0,0,3,0,0,27.9
78,5,14,1994-09-25,0,NWE,L 17-23,189,0,2,3,0,0,0,0,0,0,0,0,0,5.86
79,5,15,1996-10-06,0,ATL,W 28-24,276,3,0,9,1,6,0,0,0,0,0,0,0,35.94
80,5,16,1996-09-22,0,CHI,W 35-16,336,4,1,8,1,6,0,0,0,0,3,0,0,44.24
81,6,1,1991-11-17,1,PIT,W 41-14,325,2,0,0,0,0,0,0,0,0,3,0,0,24
82,6,2,1993-12-26,1,DAL,L 3-38,81,0,2,0,0,0,0,0,0,0,0,0,0,1.24
83,6,3,1991-12-22,1,PHI,L 22-24,130,0,1,0,0,0,0,0,0,0,0,0,0,4.2
84,6,4,1990-12-02,0,MIA,W 42-20,245,3,1,8,0,0,0,0,0,0,0,0,0,21.6
85,6,5,1988-10-09,1,DAL,W 35-17,187,3,0,17,1,6,0,0,0,0,0,0,0,33.18
86,6,6,1991-11-10,0,ATL,W 56-17,442,6,0,4,1,6,0,0,0,0,3,0,0,57.08
87,6,7,1990-11-18,0,NOR,W 31-17,311,4,0,-5,0,0,0,0,0,0,3,0,0,30.94
88,6,8,1990-12-15,1,NWE,W 25-10,100,0,1,-2,0,0,0,0,0,0,0,0,0,2.8
89,6,9,1991-12-15,0,NYG,W 34-17,230,3,0,0,0,0,0,0,0,0,0,0,0,21.2
90,6,10,1991-09-01,0,DET,W 45-0,183,2,1,11,0,0,0,0,0,0,0,0,0,15.42
91,6,11,1992-09-20,0,DET,W 13-10,136,0,3,0,0,0,0,0,0,0,0,0,0,2.44
92,6,12,1988-10-16,0,PHO,W 33-17,303,4,1,-1,0,0,0,0,0,0,3,0,0,30.02
93,6,13,1991-12-01,1,RAM,W 27-6,269,3,1,0,0,0,0,0,0,0,0,0,0,21.76
94,6,14,1992-12-06,1,NYG,W 28-10,216,2,0,-3,0,0,0,0,0,0,0,0,0,16.34
95,6,15,1990-12-09,0,CHI,W 10-9,148,1,5,0,0,0,0,0,0,0,0,0,0,4.92
96,6,16,1993-11-01,1,BUF,L 10-24,169,0,4,0,0,0,0,0,0,0,0,0,0,2.76
97,7,1,2004-09-12,0,NYG,W 31-17,330,4,0,12,0,0,0,0,0,0,3,0,0,33.4
98,7,2,2009-11-01,0,NYG,W 40-17,240,3,0,14,0,1,1,0,0,0,0,0,0,24.1
99,7,3,2007-11-18,0,MIA,W 17-7,34,0,2,28,0,0,0,0,0,0,0,0,0,2.16
100,7,4,2000-12-10,1,CLE,W 35-24,390,4,0,12,0,0,0,0,0,0,3,0,0,35.8
101,7,5,2004-12-27,1,STL,L 7-20,36,1,0,0,0,0,0,0,0,0,0,0,0,5.44
102,7,6,2006-11-19,0,TEN,L 13-31,78,0,1,0,0,0,0,0,0,0,0,0,0,2.12
103,7,7,2004-11-15,1,DAL,W 49-21,345,4,0,14,0,0,0,0,0,0,3,0,0,34.2
