rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Tgt,Rec,recYDS,Y/R,recTD,Ctch%,Y/Tgt,Att,rushYDS,Y/A,rushTD,Cmp,Att,Cmp%,passYDS,passTD,passINT,Rate,Sk,Yds,Y/A,AY/A,Rt,Yds,Y/Rt,KRTD,Ret,Yds,Y/R,PRTD,2PM,TD,Pts,Sk,Tkl,Ast,passBonus,rushBonus,recBonus,fpts,
,190,14,2000,10/8/2000,6,28-268,JAX,,BAL,L 10-15,6,5,45,9,0,1,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9.5,
,190,45,1999,11/21/1999,10,27-311,JAX,,NOR,W 41-23,2,1,30,30,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,
,190,63,2002,12/15/2002,14,30-335,JAX,@,CIN,W 29-15,2,1,23,23,0,1,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.3,
,190,77,2002,9/29/2002,3,30-258,JAX,,NYJ,W 28-3,1,1,19,19,0,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2.9,
,190,86,2005,12/4/2005,12,33-324,JAX,@,CLE,W 20-14,1,1,17,17,0,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2.7,
,190,93,2001,9/30/2001,3,29-259,JAX,,CLE,L 14-23,1,1,14,14,0,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2.4,
,190,97,2006,12/10/2006,13,34-330,JAX,,IND,W 44-17,1,1,13,13,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2.3,
,191,1,2002,12/29/2002,16,22-288,BAL,@,PIT,L 31-34,9,7,146,20.86,1,1,16.22,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,30.6,15.6625
,191,2,2003,10/19/2003,6,23-217,BAL,@,CIN,L 26-34,8,7,129,18.43,0,1,16.13,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,22.9,
,191,3,2005,12/19/2005,14,25-278,BAL,,GNB,W 48-3,12,9,110,12.22,2,1,9.17,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,35,
,191,4,2003,12/14/2003,14,23-273,BAL,@,OAK,L 12-20,9,6,93,15.5,1,1,10.33,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,21.3,
,191,5,2002,12/8/2002,13,22-267,BAL,,NOR,L 25-37,13,5,87,17.4,0,0,6.69,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,13.7,
