rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,TD,Pts,KRt,KRYds,Y/Rt,KRTD,PRet,PRYds,Y/R,PRTD,PassBonus,RushBonus,RecBonus,FPTs,
,73,2,1973,9/16/1973,1,26-069,BUF,@,NWE,W 31-13,29,250,8.62,2,,0,0,,0,,,1,100.00%,100,-3,0,0,79.2,0,0,,,,,,,,,,,,,0,3,0,39.88,
,73,3,1975,9/28/1975,2,28-081,BUF,@,PIT,W 30-21,28,227,8.11,1,,0,0,,0,,,0,0.00%,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,31.7,
,73,4,1973,12/9/1973,13,26-153,BUF,,NWE,W 37-13,22,219,9.95,1,,0,0,,0,,,0,0.00%,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,30.9,
,73,5,1976,12/5/1976,13,29-149,BUF,@,MIA,L 27-45,24,203,8.46,1,,2,12,6,0,,,0,0.00%,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,32.5,
,73,6,1973,12/16/1973,14,26-160,BUF,@,NYJ,W 34-14,34,200,5.88,1,,0,0,,0,,,0,0.00%,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,29,
,73,7,1975,11/17/1975,9,28-131,BUF,@,CIN,L 24-33,17,197,11.59,2,,2,21,10.5,0,,,0,0.00%,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,38.8,
,73,8,1972,10/29/1972,7,25-112,BUF,,PIT,L 21-38,22,189,8.59,1,,3,7,2.33,0,,,0,100.00%,0,0,0,0,39.6,0,0,,,,,,,,,,,,,0,3,0,31.6,
,73,9,1975,12/14/1975,13,28-158,BUF,@,NWE,W 34-14,21,185,8.81,1,,2,28,14,0,,,0,0.00%,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,32.3,
,73,10,1975,9/21/1975,1,28-074,BUF,,NYJ,W 42-14,32,173,5.41,2,,1,5,5,0,,,0,0.00%,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,33.8,
,73,11,1969,10/26/1969,7,22-109,BUF,@,MIA,L 6-24,10,12,1.2,0,,4,60,15,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,11.2,
,73,12,1970,9/27/1970,2,23-080,BUF,,RAM,L 0-19,14,24,1.71,0,,0,0,,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,2.4,
