rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Tgt,Rec,recYDS,Y/R,recTD,Ctch%,Y/Tgt,Att,rushYDS,Y/A,rushTD,Cmp,Att,Cmp%,passYDS,passTD,passINT,Rate,Sk,Yds,Y/A,AY/A,Rt,Yds,Y/Rt,KRTD,Ret,Yds,Y/R,PRTD,2PM,TD,Pts,Sk,Tkl,Ast,passBonus,rushBonus,recBonus,fpts,
,157,61,2000,10/15/2000,7,29-342,BAL,@,WAS,L 3-10,2,2,38,19,0,1,19,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5.8,
,157,73,2001,1/7/2002,16,31-060,BAL,,MIN,W 19-3,8,2,29,14.5,0,0,3.63,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4.9,
,158,1,1997,9/21/1997,4,22-340,BAL,@,TEN,W 36-10,9,8,124,15.5,1,1,13.78,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,29.4,14.25625
,158,2,1998,9/27/1998,4,23-346,BAL,,CIN,W 31-24,5,4,122,30.5,1,1,24.4,1,-1,-1,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,25.1,
,158,3,1998,9/20/1998,3,23-339,BAL,@,JAX,L 10-24,5,4,117,29.25,1,1,23.4,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,24.7,
,158,4,1997,10/19/1997,7,23-003,BAL,,MIA,L 13-24,6,6,105,17.5,0,1,17.5,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,19.5,
,158,5,2003,9/7/2003,1,28-326,JAX,@,CAR,L 23-24,3,3,90,30,1,1,30,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,18,
,158,6,1998,10/25/1998,7,24-009,BAL,@,GNB,L 10-28,12,6,79,13.17,1,1,6.58,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,19.9,
,158,7,1998,11/15/1998,10,24-030,BAL,@,SDG,L 13-14,7,2,78,39,1,0,11.14,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,15.8,
,158,8,1998,9/6/1998,1,23-325,BAL,,PIT,L 13-20,5,2,76,38,1,0,15.2,1,3,3,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,15.9,
